STRINGCODE;CAS;KEGG;IAFMODEL;UMBBD;NAME
O(H2);7732-18-5;C00001;h2o;None;H2O|Water
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(P(O(H)O(H)O))O(H)O))O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>;56-65-5;C00002;atp;None;ATP|Adenosine5'-triphosphate
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){9})))){6})<9>)))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N[+1](C(H)(C(H)(C(H)(C(C(ON(H2)))(C(H)(){12})))))<12>O(){8}))))<8>)))))));53-84-9;C00003;nad;None;NAD+|NAD|Nicotinamideadenine dinucleotide|DPN|Diphosphopyridinenucleotide|Nadide
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){9})))){6})<9>)))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(H2)(C(C(ON(H2)))(C(H)(){12})))))<12>O(){8}))))<8>)))))));None;C00004;nadh;None;NADH|DPNH
C(H2)(C(H)(C(HO(H))(C(HO(P(O(H)O(H)O)))(C(H)(N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){9})))){6})<9>)))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(H2)(C(C(ON(H2)))(C(H)(){12})))))<12>O(){8}))))<8>)))))));2646-71-1;C00005;nadph;None;NADPH|TPNH
C(H2)(C(H)(C(HO(H))(C(HO(P(O(H)O(H)O)))(C(H)(N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){9})))){6})<9>)))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N[+1](C(H)(C(H)(C(H)(C(C(ON(H2)))(C(H)(){12})))))<12>O(){8}))))<8>)))))));53-59-8;C00006;nadp;None;NADP+|NADP|Nicotinamideadenine dinucleotide phosphate|beta-Nicotinamideadenine dinucleotide phosphate|TPN|Triphosphopyridinenucleotide
(OO);7782-44-7;C00007;o2;None;Oxygen|O2
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(P(O(H)O(H)O))O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>;20398-34-9;C00008;adp;None;ADP|Adenosine5'-diphosphate
P(O(H)O(H)O(H)O);14265-44-2;C00009;pi;None;Orthophosphate|Phosphate
(CoAS(H));85-61-0;C00010;coa;None;CoA|CoenzymeA|CoA-SH
